qnum,question,A,B,C,D,E,correct,n_choices
287,Which of the following describes how clustering keys work in Snowflake ?,"Clustering keys update the micro-partitions in place with a full sort, and impact the DML operations.","Clustering keys sort the designated columns over time, without blocking DML operations.","Clustering keys create a distributed, parallel data structure of pointers to a table's rows and columns.",Clustering keys establish a hashed key on each node of a virtual warehouse to optimize joins at run-time.,,['B'],4
288,Which of the following operations require the use of a running virtual warehouse? (Choose two.),Downloading data from an internal stage,Listing files in a stage,Executing a stored procedure,Altering a table,Querying data from a materialized view,"['C', 'E']",5
289,What is used to limit the credit usage of a virtual warehouse within a Snowflake account?,Load monitor,Resource monitor,Query Profile,Stream,,['B'],4
290,What are the benefits of the replication feature in Snowflake ? (Choose two.),Disaster recovery,Time Travel,Fail-safe,Database failover and failback,Data security,"['A', 'D']",5
291,Which of the following roles are recommended to create and manage users and roles? (Choose two.),SYSADMIN,SECURITYADMIN,PUBLIC,ACCOUNTADMIN,USERADMIN,"['B', 'E']",5
292,When can a newly configured virtual warehouse start running SQL queries?,After 50% of the warehouse provisioning has completed,During the time slots defined by the ACCOUNTADMIN,When the warehouse provisioning is completed,After the warehouse replication is completed,,['C'],4
293,What actions will prevent leveraging of the ResultSet cache?,Removing a column from the query SELECT list,Stopping the virtual warehouse that the query is running against,If the result has not been reused within the last 12 hours,Executing the RESULTS_SCAN() table function,,['A'],4
294,Which of the following are benefits of micro-partitioning? (Choose two.),Micro-partitions cannot overlap in their range of values.,Micro-partitions are immutable objects that support the use of Time Travel.,Micro-partitions can reduce the amount of I/O from object storage to virtual warehouses.,Rows are automatically stored in sorted order within micro-partitions.,Micro-partitions can be defined on a schema -by-schema basis.,"['B', 'C']",5
295,Which data type can be used to store geospatial data in Snowflake ?,Variant,Object,Geometry,Geography,,['C'],4
296,"If all virtual warehouse resources are maximized while processing a query workload, what will happen to new queries that are
submitted to the warehouse?",All queries will terminate when the resources are maximized.,The warehouse will scale out automatically,The warehouse will move to a suspended state.,New queries will be queued and executed when capacity is available.,,['D'],4
297,Masking policies can be applied to which of the following Snowflake objects? (Choose two.),A materialized view,A stored procedure,A table,A stream,"A pipe
F. A User-Defined Function (UDF)","['A', 'C']",5
298,What actions are supported by Snowflake resource monitors? (Choose two.),Alert,Notify,Notify and suspend,Abort,Suspend immediately,"['B', 'C']",5
299,"A user executes the following SQL query:
create table SALES_BKP like SALES;
What are the cost implications for processing this query?",Processing costs will be generated based on how long the query takes.,Storage costs will be generated based on the size of the data.,No costs will be incurred as the query will use metadata.,The cost for running the virtual warehouse will be charged by the second.,,['C'],4
300,What is the maximum length of time travel available in the Snowflake Standard Edition?,1 Day,7 Days,30 Days,90 Days,,['A'],4
301,What happens when an external or an internal stage is dropped? (Choose two.),"When dropping an external stage, the files are not removed and only the stage is dropped.","When dropping an external stage, both the stage and the files within the stage are removed.","When dropping an internal stage, the files are deleted with the stage and the files are recoverable.","When dropping an internal stage, the files are deleted with the stage and the files are not recoverable.","When dropping an internal stage, only selected files are deleted with the stage and are not recoverable.","['A', 'D']",5
302,"A user has 10 files in a stage containing new customer data. The ingest operation completes with no errors, using the following
command:
COPY INTO my_table FROM @my_stage;
The next day the user adds 10 files to the stage so that now the stage contains a mixture of new customer data and updates to the
previous data. The user did not remove the 10 original files.
If the user runs the same COPY INTO command what will happen?",All data from all of the files on the stage will be appended to the table.,Only data about new customers from the new files will be appended to the table.,The operation will fail with the error UNCERTAIN FILES IN STAGE.,All data from only the newly-added files will be appended to the table.,,['D'],4
303,Which parameter can be used to instruct a COPY command to verify data files instead of loading them into a specified table?,STRIP_NULL_VALUES,SKIP_BYTE_ORDER_MARK,REPLACE_INVALID_CHARACTERS,VALIDATION_MODE,,['D'],4
304,Which of the following SQL statements will list the version of the drivers currently being used?,Execute SELECT CURRENT_ODBC_CLIENT(); from the Web UI,Execute SELECT CURRENT_JDBC_VERSION(); from SnowSQL,Execute SELECT CURRENT_CLIENT(); from an application,Execute SELECT CURRENT_VERSION(); from the Python Connector,,['C'],4
305,Which Snowflake technique can be used to improve the performance of a query?,Clustering,Indexing,Fragmenting,Using INDEX_HINTS,,['A'],4
306,"What happens to the shared objects for users in a consumer account from a share, once a database has been created in that account?",The shared objects are transferred.,The shared objects are copied.,The shared objects become accessible.,The shared objects can be re-shared.,,['C'],4
307,Using variables in Snowflake is denoted by using which SQL character?,@,&,$,#,,['C'],4
308,"Which commands should be used to grant the privilege allowing a role to select data from all current tables and any tables th at will be
created later in a schema? (Choose two.)",grant USAGE on all tables in schema DB1.SCHEMA to role MYROLE;,grant USAGE on future tables in schema DB1.SCHEMA to role MYROLE;,grant SELECT on all tables in schema DB1.SCHEMA to role MYROLE;,grant SELECT on future tables in schema DB1.SCHEMA to role MYROLE;,"grant SELECT on all tables in database DB1 to role MYROLE;
F. grant SELECT on future tables in database DB1 to role MYROLE;","['C', 'D']",5
309,How can a user change which columns are referenced in a view?,Modify the columns in the underlying table,Use the ALTER VIEW command to update the view,Recreate the view with the required changes,Materialize the view to perform the changes,,['C'],4
310,Which statement describes pruning?,The filtering or disregarding of micro-partitions that are not needed to return a query.,The return of micro-partitions values that overlap with each other to reduce a query's runtime.,A service that is handled by the Snowflake Cloud Services layer to optimize caching.,The ability to allow the result of a query to be accessed as if it were a table.,,['A'],4
311,Which SQL command can be used to see the CREATE definition of a masking policy?,SHOW MASKING POLICIES,DESCRIBE MASKING POLICY,GET_DDL,LIST MASKING POLICIES,,['C'],4
312,Which of the following is the Snowflake Account_Usage.Metering_History view used for?,Gathering the hourly credit usage for an account,Compiling an account's average cloud services cost over the previous month,Summarizing the throughput of Snowpipe costs for an account,Calculating the funds left on an account's contract,,['A'],4
313,Query parsing and compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,Cloud services layer,Compute layer,Storage layer,Cloud agnostic layer,,['A'],4
314,Which of the following Snowflake objects can be shared using a secure share? (Choose two.),Materialized views,Sequences,Procedures,Tables,Secure User Defined Functions (UDFs),"['D', 'E']",5
315,What happens to the underlying table data when a CLUSTER BY clause is added to a Snowflake table?,Data is hashed by the cluster key to facilitate fast searches for common data values,Larger micro-partitions are created for common data values to reduce the number of partitions that must be scanned,Smaller micro-partitions are created for common data values to allow for more parallelism,Data may be co-located by the cluster key within the micro-partitions to improve pruning performance,,['D'],4
316,Which of the following conditions must be met in order to return results from the results cache? (Choose two.),The user has the appropriate privileges on the objects associated with the query.,Micro-partitions have been reclustered since the query was last run.,The new query is run using the same virtual warehouse as the previous query.,The query includes a User Defined Function (UDF).,The query has been run within 24 hours of the previously run query.,"['A', 'E']",5
317,Which statement about billing applies to Snowflake credits?,Credits are billed per-minute with a 60-minute minimum.,Credits are used to pay for cloud data storage usage.,Credits are consumed based on the number of credits billed for each hour that a warehouse runs.,Credits are consumed based on the warehouse size and the time the warehouse is running.,,['D'],4
318,A user needs to create a materialized view in the schema MYDB.MYSCHEM,"GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO ROLE MYROLE;","GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER USER1;","GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER1;","GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO MYROLE;",,['A'],4
319,What is the purpose of multi-cluster virtual warehouses?,To create separate data warehouses to increase query optimization,To allow users the ability to choose the type of compute nodes that make up a virtual warehouse cluster,To eliminate or reduce queuing of concurrent queries,To allow the warehouse to resize automatically,,['C'],4
320,Which of the following is a valid source for an external stage when the Snowflake account is located on Microsoft Azure?,An FTP server with TLS encryption,An HTTPS server with WebDAV,A Google Cloud storage bucket,A Windows server file share on Azure,,['C'],4
321,Which database objects can be shared with the Snowflake secure data sharing feature? (Choose two.),Files,External tables,Secure User-Defined Functions (UDFs),Sequences,Streams,"['B', 'C']",5
322,Which statements reflect key functionalities of a Snowflake Data Exchange? (Choose two.),"If an account is enrolled with a Data Exchange, it will lose its access to the Snowflake Marketplace.",A Data Exchange allows groups of accounts to share data privately among the accounts.,"A Data Exchange allows accounts to share data with third, non-Snowflake parties.",Data Exchange functionality is available by default in accounts using the Enterprise edition or higher.,"The sharing of data in a Data Exchange is bidirectional. An account can be a provider for some datasets and a consumer for
others.","['B', 'E']",5
323,"A Snowflake user executed a query and received the results. Another user executed the same query 4 hours later. The data had not
changed.
What will occur?","No virtual warehouse will be used, data will be read from the result cache.","No virtual warehouse will be used, data will be read from the local disk cache.",The default virtual warehouse will be used to read all data.,The virtual warehouse that is defined at the session level will be used to read all data.,,['A'],4
324,Which feature allows a user the ability to control the organization of data in a micro-partition?,Range Partitioning,Search Optimization Service,Automatic Clustering,Horizontal Partitioning,,['C'],4
325,Which privilege must be granted to a share to allow secure views the ability to reference data in multiple databases?,CREATE_SHARE on the account,SHARE on databases and schemas,SELECT on tables used by the secure view,REFERENCE_USAGE on databases,,['D'],4
326,In which use case does Snowflake apply egress charges?,Data sharing within a specific region,Query result retrieval,Database replication,Loading data into Snowflake,,['C'],4
327,Which of the following compute resources or features are managed by Snowflake ? (Choose two.),Execute a COPY command,Updating data,Snowpipe,AUTOMATIC_CLUSTERING,Scaling up a warehouse,"['C', 'D']",5
328,A materialized view should be created when which of the following occurs? (Choose two.),There is minimal cost associated with running the query.,The query consumes many compute resources every time it runs.,The base table gets updated frequently.,The query is highly optimized and does not consume many compute resources.,The results of the query do not change often and are used frequently.,"['B', 'E']",5
329,What privilege should a user be granted to change permissions for new objects in a managed access schema?,Grant the OWNERSHIP privilege on the schema.,Grant the OWNERSHIP privilege on the database.,Grant the MANAGE GRANTS global privilege.,Grant ALL privileges on the schema.,,['A'],4
330,What happens when a Data Provider revokes privileges to a share on an object in their source database?,The object immediately becomes unavailable for all Data Consumers.,Any additional data arriving after this point in time will not be visible to Data Consumers.,The Data Consumers stop seeing data updates and become responsible for storage charges for the object.,A static copy of the object at the time the privilege was revoked is created in the Data Consumers account.,,['A'],4
331,Which command can be used to load data into an internal stage?,LOAD,COPY,GET,PUT,,['D'],4
332,What is the MINIMUM Snowflake edition required to use the periodic rekeying of micro-partitions?,Enterprise,Business Critical,Standard,Virtual Private Snowflake,,['A'],4
333,Which stage type can be altered and dropped?,Database stage,External stage,Table stage,User stage,,['B'],4
334,Which Snowflake object enables loading data from files as soon as they are available in a cloud storage location?,Pipe,External stage,Task,Stream,,['A'],4
335,"A user is loading JSON documents composed of a huge array containing multiple records into Snowflake . The user enables the
STRIP_OUTER_ARRAY file format option.
What does the STRIP_OUTER_ARRAY file format do?",It removes the last element of the outer array.,It removes the outer array structure and loads the records into separate table rows.,It removes the trailing spaces in the last element of the outer array and loads the records into separate table columns.,It removes the NULL elements from the JSON object eliminating invalid data and enables the ability to load the records.,,['B'],4
336,Which of the following describes how multiple Snowflake accounts in a single organization relate to various cloud providers?,Each Snowflake account can be hosted in a different cloud vendor and region.,Each Snowflake account must be hosted in a different cloud vendor and region.,All Snowflake accounts must be hosted in the same cloud vendor and region.,Each Snowflake account can be hosted in a different cloud vendor but must be in the same region.,,['A'],4
337,"If a Snowflake user decides a table should be clustered, what should be used as the cluster key?",The columns that are queried in the select clause.,The columns with very high cardinality.,The columns with many different values.,The columns most actively used in the select filters.,,['D'],4
338,What are value types that a VARIANT column can store? (Choose two.),STRUCT,OBJECT,BINARY,ARRAY,CLOB,"['B', 'D']",5
339,"A company needs to read multiple terabytes of data for an initial load as part of a Snowflake migration. The company can control the
number and size of CSV extract files.
How does Snowflake recommend maximizing the load performance?",Use auto-ingest Snowpipe s to load large files in a serverless model.,"Produce the largest files possible, reducing the overall number of files to process.",Produce a larger number of smaller files and process the ingestion with size Small virtual warehouses.,Use an external tool to issue batched row-by-row inserts within BEGIN TRANSACTION and COMMIT commands.,,['C'],4
340,"For non-materialized views, what column in Information Schema and Account Usage identifes whether a view is secure or not?",CHECK_OPTION,IS_SECURE,IS_UPDATEABLE,TABLE_NAME,,['B'],4
341,The bulk data load history that is available upon completion of the COPY statement is stored where and for how long?,In the metadata of the target table for 14 days,In the metadata of the pipe for 14 days,In the metadata of the target table for 64 days,In the metadata of the pipe for 64 days,,['C'],4
342,"User INQUISITIVE_PERSON has been granted the role DATA_SCIENCE. The role DATA_SCIENCE has privileges OWNERSHIP on the
schema MARKETING of the database ANALYTICS_DW.
Which command will show all privileges granted to that schema?",SHOW GRANTS ON ROLE DATA_SCIENCE,SHOW GRANTS ON SCHEMA ANALYTICS_DW.MARKETING,SHOW GRANTS TO USER INQUISITIVE_PERSON,SHOW GRANTS OF ROLE DATA_SCIENCE,,['B'],4
343,Which of the following are characteristics of security in Snowflake ?,Account and user authentication is only available with the Snowflake Business Critical edition.,Support for HIPAA and GDPR compliance is available for UI Snowflake editions.,Periodic rekeying of encrypted data is available with the Snowflake Enterprise edition and higher,Private communication to internal stages is allowed in the Snowflake Enterprise edition and higher.,,['C'],4
344,Which of the following objects can be shared through secure data sharing?,Masking policy,Stored procedure,Task,External table,,['D'],4
345,Which formats does Snowflake store unstructured data in? (Choose two.),GeoJSON,Array,XML,Object,BLOB,"['B', 'D']",5
346,"A user is preparing to load data from an external stage.
Which practice will provide the MOST efficient loading performance?",Organize files into logical paths,Store the files on the external stage to ensure caching is maintained,Use pattern matching for regular expression execution,Load the data in one large file,,['A'],4
347,"What effect does WAIT_FOR_COMPLETION = TRUE have when running an ALTER WAREHOUSE command and changing the warehouse
size?",The warehouse size does not change until all queries currently running in the warehouse have completed.,The warehouse size does not change until all queries currently in the warehouse queue have completed.,The warehouse size does not change until the warehouse is suspended and restarted.,It does not return from the command until the warehouse has finished changing its size.,,['D'],4
348,Which of the following can be used when unloading data from Snowflake ? (Choose two.),"When unloading semi-structured data, it is recommended that the STRIP_OUTER_ARRAY option be used.",Use the ENCODING file format option to change the encoding from the default UTF-8.,The OBJECT_CONSTRUCT function can be used to convert relational data to semi-structured data.,"By using the SINGLE = TRUE parameter, a single file up to 5 GB in size can be exported to the storage layer.",Use the PARSE_JSON function to ensure structured data will be unloaded into the VARIANT data type.,"['C', 'D']",5
349,What data is stored in the Snowflake storage layer? (Choose two.),Snowflake parameters,Micro-partitions,Query history,Persisted query results,Standard and secure view results,"['B', 'C']",5
350,"A data provider wants to share data with a consumer who does not have a Snowflake account. The provider creates a reader account
for the consumer following these steps:
1. Created a user called ""CONSUMER""
2. Created a database to hold the share and an extra-small warehouse to query the data
3. Granted the role PUBLIC the following privileges: Usage on the warehouse, database, and schema, and SELECT on all the objects in
the share
Based on this configuration what is true of the reader account?",The reader account will automatically use the Standard edition of Snowflake .,The reader account compute will be billed to the provider account.,"The reader account can clone data the provider has shared, but cannot re-share it.",The reader account can create a copy of the shared data using CREATE TABLE AS...,,['B'],4
351,Which of the following activities consume virtual warehouse credits in the Snowflake environment? (Choose two.),Caching query results,Running EXPLAIN and SHOW commands,Cloning a database,Running a custom query,Running COPY commands,"['D', 'E']",5
352,"When loading data into Snowflake , the COPY command supports which of the following?",Joins,Filters,Column reordering,Aggregates,,['C'],4
353,What is cached during a query on a virtual warehouse?,All columns in a micro-partition,Any columns accessed during the query,The columns in the result set of the query,All rows accessed during the query,,,4
354,What is the default character set used when loading CSV files into Snowflake ?,UTF-8,UTF-16,ISO 8859-1,ANSI_X3.4,,['A'],4
355,Which of the following describes external functions in Snowflake ?,They are a type of User-defined Function (UDF).,They contain their own SQL code.,They call code that is stored inside of Snowflake .,They can return multiple rows for each row received.,,['A'],4
356,Which of the following are valid methods for authenticating users for access into Snowflake ? (Choose three.),SCIM,Federated authentication,TLS 1.2,Key-pair authentication,"OAuth
F. OCSP authentication","['B', 'D', 'E']",5
357,"A user has a standard multi -cluster warehouse auto -scaling policy in place.
Which condition will trigger a cluster to shut-down?",When after 2-3 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.,When after 5-6 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.,When after 5-6 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.,When after 2-3 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.,,['D'],4
358,"What is the minimum Snowflake edition needed for database failover and fail-back between Snowflake accounts for business continuity
and disaster recovery?",Standard,Enterprise,Business Critical,Virtual Private Snowflake,,['C'],4
359,How would a user execute a series of SQL statements using a task?,"Include the SQL statements in the body of the task CREATE TASK mytask .. AS INSERT INTO target1 SELECT .. FROM stream_s1
WHERE .. INSERT INTO target2 SELECT .. FROM stream_s1 WHERE ..","A stored procedure can have only one DML statement per stored procedure invocation and therefore the user should sequence
stored procedure calls in the task de finition CREATE TASK mytask .. AS call stored_proc1(); call stored_proc2();","Use a stored procedure executing multiple SQL statements and invoke the stored procedure from the task. CREATE TASK mytask
. ... AS call stored_proc_multiple_statements_inside();","Create a task for each SQL statement (e.g. resulting in task1, task2, etc.) and string the series of SQL statements by having a
control task calling task1, task2, etc. sequentially.",,['C'],4
360,How many resource monitors can be assigned at the account level?,1,2,3,4,,['A'],4
361,Data storage for individual tables can be monitored using which commands and/or objects? (Choose two.),SHOW STORAGE BY TABLE;,SHOW TABLES;,Information Schema -> TABLE_HISTORY,Information Schema -> TABLE_FUNCTION,Information Schema -> TABLE_STORAGE_METRICS,"['B', 'E']",5
362,How would a user run a multi-cluster warehouse in maximized mode?,"Configure the maximum clusters setting to ""Maximum.""",Turn on the additional clusters manually after starting the warehouse.,Set the minimum Clusters and maximum Clusters settings to the same value.,Set the minimum clusters and maximum clusters settings to different values.,,['C'],4
363,What internal stages are available in Snowflake ? (Choose three.),Schema stage,Named stage,User stage,Stream stage,"Table stage
F. Database stage","['B', 'C', 'E']",5
364,Which stages are used with the Snowflake PUT command to upload files from a local file system? (Choose three.),Schema Stage,User Stage,Database Stage,Table Stage,"External Named Stage
F. Internal Named Stage",,5
365,Which data type can store more than one type of data structure?,JSON,BINARY,VARCHAR,VARIANT,,['D'],4
366,User-level network policies can be created by which of the following roles? (Choose two.),ROLEADMIN,ACCOUNTADMIN,SYSADMIN,SECURITYADNIN,USERADMIN,"['B', 'D']",5
367,What SQL command would be used to view all roles that were granted to USER1?,show grants to user USER1;,show grants user USER1;,describe user USER1;,show grants on user USER1;,,['A'],4
368,Which ACCOUNT_USAGE views are used to evaluate the details of dynamic data masking? (Choose two.),ROLES,POLICY_REFERENCES,QUERY_HISTORY,RESOURCE_MONITORS,"ACCESS_HISTORY
F. MASKING_POLICIES",,5
369,Which of the following are considerations when using a directory table when working with unstructured data? (Choose two.),A directory table is a separate database object.,Directory tables store data file metadata.,A directory table will be automatically added to a stage.,Directory tables do not have their own grantable privileges.,Directory table data cannot be refreshed manually.,"['B', 'D']",5
370,"The first user assigned to a new account, ACCOUNTADMIN, should create at least one additional user with which administrative
privilege?",USERADMIN,PUBLIC,ORGADMIN,SYSADMIN,,['A'],4
371,Which statement describes how Snowflake supports reader accounts?,A reader account can consume data from the provider account that created it and combine it with its own data.,A consumer needs to become a licensed Snowflake customer as data sharing is only supported between Snowflake accounts.,The users in a reader account can query data that has been shared with the reader account and can perform DML tasks.,The SHOW MANAGED ACCOUNTS command will view all the reader accounts that have been created for an account.,,['D'],4
372,"How does Snowflake allow a data provider with an Azure account in central Canada to share data with a data consumer on AWS in
Australia?","The data provider in Azure Central Canada can create a direct share to AWS Asia Paci fic, if they are both in the same
organization.","The data consumer and data provider can form a Data Exchange within the same organization to create a share from Azure
Central Canada to AWS Asia Pacific.","The data provider uses the GET DATA work ow in the Snowflake Data Marketplace to create a share between Azure Central
Canada and AWS Asia Pacific.","The data provider must replicate the database to a secondary account in AWS Asia Paci fic within the same organization then
create a share to the data consumer's account",,['D'],4
373,Which Snowflake objects can be shared with other Snowflake accounts? (Choose three.),Schemas,Roles,Secure Views,Stored Procedures,"Tables
F. Secure User-Defined Functions (UDFs)",,5
374,"Which Snowflake feature will allow small volumes of data to continuously load into Snowflake and will incrementally m ake the data
available for analysis?",COPY INTO,CREATE PIPE,INSERT INTO,TABLE STREAM,,['B'],4
375,Which Snowflake partner specializes in data catalog solutions?,Alation,DataRobot,dbt,Tableau,,['A'],4
376,Which of the following can be executed/called with Snowpipe ?,A User Defined Function (UDF),A stored procedure,A single COPY_INTO statement,A single INSERT_INTO statement,,['C'],4
377,Which Snowflake objects will incur both storage and cloud compute charges? (Choose two.),Materialized view,Sequence,Secure view,Transient table,Clustered table,"['A', 'E']",5
378,What file formats does Snowflake support for loading semi-structured data? (Choose three.),TSV,JSON,PDF,Avro,"Parquet
F. JPEG","['B', 'D', 'E']",5
379,Which of the following statements about data sharing are true? (Choose two.),New objects created by a Data Provider are automatically shared with existing Data Consumers and Reader Accounts.,All database objects can be included in a shared database.,Reader Accounts are created by Data Providers.,Shared databases are read-only.,Reader Accounts are charged for warehouse usage.,"['C', 'D']",5
380,Credit charges for Snowflake virtual warehouses are calculated based on which of the following considerations? (Choose two.),The number of queries executed,The number of active users assigned to the warehouse,The size of the virtual warehouse,The length of time the warehouse is running,The duration of the queries that are executed,"['C', 'D']",5
381,Which of the following are handled by the cloud services layer of the Snowflake architecture? (Choose two.),Query execution,Data loading,Time Travel data,Security,Authentication and access control,"['D', 'E']",5
382,What is a responsibility of Snowflake ’s virtual warehouses?,Infrastructure management,Metadata management,Query execution,Query parsing and optimization,Permanent storage of micro-partitions,['C'],5
383,What features does Snowflake Time Travel enable?,Querying data-related objects that were created within the past 365 days,Restoring data-related objects that have been deleted within the past 90 days,Conducting point-in-time analysis for BI reporting,Analyzing data usage/manipulation over all periods of time,,['B'],4
384,Which of the following statements describes a schema in Snowflake ?,A logical grouping of objects that belongs to a single database,A logical grouping of objects that belongs to multiple databases,A named Snowflake object that includes all the information required to share a database,A uniquely identified Snowflake account within a business entity,,['A'],4
385,What is the recommended compressed file size range for continuous data loads using Snowpipe ?,8-16 MB,16-24 MB,10-99 MB,100-250 MB,,['D'],4
386,How long is Snowpipe data load history retained?,As configured in the CREATE PIPE settings,Until the pipe is dropped,64 days,14 days,,['D'],4
387,"A company strongly encourages all Snowflake users to self-enroll in Snowflake 's default Multi-Factor Authentication (MFA) service to
provide increased login security for users connecting to Snowflake .
Which application will the Snowflake users need to install on their devices in order to connect with MFA?",Okta Verify,Duo Mobile,Microsoft Authenticator,Google Authenticator,,['B'],4
388,Which URL type allows users to access unstructured data without authenticating into Snowflake or passing an authorization token?,Pre-signed URL,Scoped URL,Signed URL,File URL,,['A'],4
389,Where would a Snowflake user find information about query activity from 90 days ago?,account_ usage.query_history view,account_usage.query_history_archive view,information_schema.query_history view,information_schema.query_history_by_session view,,['A'],4
390,"A marketing co -worker has requested the ability to change a warehouse size on their medium virtual warehouse called MKTG_WH.
Which of the following statements will accommodate this request?",ALLOW RESIZE ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;,GRANT MODIFY ON WAREHOUSE MKTG_WH TO ROLE MARKETING;,GRANT MODIFY ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;,GRANT OPERATE ON WAREHOUSE MKTG_WH TO ROLE MARKET;,,['B'],4
391,Which of the following commands cannot be used within a reader account?,CREATE SHARE,ALTER WAREHOUSE,DROP ROLE,SHOW SCHEMAS,DESCRIBE TABLE,['A'],5
392,Which TABLE function helps to convert semi-structured data to a relational representation?,CHECK_JSON,TO_JSON,FLATTEN,PARSE_JSON,,['C'],4
393,Which query profile statistics help determine if efficient pruning is occurring? (Choose two.),Bytes sent over network,Percentage scanned from cache,Partitions total,Bytes spilled to local storage,Partitions scanned,"['C', 'E']",5
394,What are the default Time Travel and Fail-safe retention periods for transient tables?,"Time Travel - 1 day, Fail-safe - 1 day","Time Travel - 0 days, Fail-safe - 1 day","Time Travel - 1 day, Failsafe - 0 days",Transient tables are retained in neither Fail-safe nor Time Travel.,,['C'],4
395,Which command is used to unload data from a Snowflake table into a file in a stage?,COPY INTO,GET,WRITE,EXTRACT INTO,,['A'],4
396,What are advantages clones have over tables created with CREATE TABLE AS SELECT statement? (Choose two.),The clone always stays in sync with the original table.,The clone has better query performance.,The clone is created almost instantly.,The clone will have time travel history from the original table.,The clone saves space by not duplicating storage.,"['C', 'E']",5
397,How often are the Account and Table master keys automatically rotated by Snowflake ?,30 Days,60 Days,90 Days,365 Days.,,['A'],4
398,Which privilege is required for a role to be able to resume a suspended warehouse if auto-resume is not enabled?,USAGE,OPERATE,MONITOR,MODIFY,,['B'],4
399,Which statement MOST accurately describes clustering in Snowflake ?,The database ACCOUNTADMIN must define the clustering methodology for each Snowflake table.,Clustering is the way data is grouped together and stored within Snowflake micro-partitions.,The clustering key must be included in the COPY command when loading data into Snowflake .,Clustering can be disabled within a Snowflake account.,,['B'],4
400,Which of the following practices are recommended when creating a user in Snowflake ? (Choose two.),Configure the user to be initially disabled.,Force an immediate password change.,Set a default role for the user.,Set the number of minutes to unlock to 15 minutes.,Set the user's access to expire within a specified timeframe.,"['B', 'C']",5
401,Network policies can be applied to which of the following Snowflake objects? (Choose two.),Roles,Databases,Warehouses,Users,Accounts,"['D', 'E']",5
